,date,open,high,low,close,adj_close,Volume,stock
0,1962-01-02,1.1014219280169133,0.22337962687015533,0.22222222,0.22337963,6.281419e-07,0.0,JNJ
1,1962-01-02,6.125843524932861,6.160982131958008,6.1258435,6.1258435,1.4146507,59700.0,ARNC
2,1962-01-02,0.09290838986635208,0.09602611511945724,0.09290839,0.09290839,0.035517246,817400.0,DIS
3,1962-01-02,1.1014219280169133,3.296130895614624,3.2440476,3.296131,0.051992513,105600.0,CVX
4,1962-01-02,1.1014219280169133,0.1918402761220932,0.1892361,0.1892361,0.00023162183,345600.0,MO
5,1962-01-02,7.7133331298828125,7.7133331298828125,7.6266665,7.6266665,0.6181529,387200.0,IBM
6,1962-01-02,0.7512019276618958,0.7637219429016113,0.7436899,0.74869794,0.0017815924,2156500.0,GE
7,1962-01-02,1.1014219280169133,11.1875,11.0,11.125,1.9360236,32000.0,GT
8,1962-01-02,1.1014219280169133,1.44140625,1.421875,1.4296875,0.013509385,192000.0,PG
9,1962-01-02,1.1014219280169133,7.6875,7.5416665,7.5833335,0.9789446,49200.0,FL
10,1962-01-02,0.2630208432674408,0.2701822817325592,0.26302084,0.26302084,0.00423772,806400.0,KO
11,1962-01-02,1.1014219280169133,263.125,258.125,260.625,116.558205,400.0,NAV
12,1962-01-02,6.5321550369262695,6.556184768676758,6.532155,6.532155,1.5366576,55900.0,AA
13,1962-01-02,1.6041666269302368,1.6197916269302368,1.5885416,1.6041666,0.13695742,163200.0,CAT
14,1962-01-02,1.1014219280169133,30.6875,30.375,30.375,0.5069433,1600.0,DTE
15,1962-01-02,0.13127270340919495,0.13127270340919495,0.12417688,0.12417688,0.006887285,2480300.0,HPQ
16,1962-01-02,1.1014219280169133,1.58984375,1.578125,1.578125,0.013913333,902400.0,XOM
17,1962-01-02,1.1014219280169133,10.28125,10.125,10.125,0.22735077,25600.0,ED
18,1962-01-02,0.8374485373497009,0.8374485373497009,0.82304525,0.82304525,0.1457476,352200.0,BA
19,1962-01-02,1.1014219280169133,9.064276695251465,8.852777,8.852777,0.77576894,48600.0,IP
20,1962-01-03,1.1014219280169133,11.09375,10.9375,10.9375,1.9033942,28000.0,GT
21,1962-01-03,0.2591145932674408,0.2591145932674408,0.25325522,0.25716147,0.0041433168,1574400.0,KO
22,1962-01-03,1.1014219280169133,7.53125,7.5,7.5,0.96818703,31200.0,FL
23,1962-01-03,1.1014219280169133,0.1861979216337204,0.18489583,0.1857639,0.00022737196,1209600.0,MO
24,1962-01-03,1.1014219280169133,0.22106482088565826,0.2199074,0.2199074,6.1837784e-07,345600.0,JNJ
25,1962-01-03,1.1014219280169133,265.0,256.25,264.375,118.235344,700.0,NAV
26,1962-01-03,1.1014219280169133,1.4296875,1.4023438,1.4140625,0.013361744,428800.0,PG
27,1962-01-03,1.1014219280169133,3.3035714626312256,3.2738094,3.2886906,0.051875107,126400.0,CVX
28,1962-01-03,1.6041666269302368,1.6197916269302368,1.5885416,1.6197916,0.1382913,156000.0,CAT
29,1962-01-03,7.62666654586792,7.693333148956299,7.6266665,7.693333,0.62355584,288000.0,IBM
30,1962-01-03,6.5321550369262695,6.632279872894287,6.524145,6.63228,1.5602118,74500.0,AA
31,1962-01-03,0.8353909254074097,0.8518518805503845,0.8353909,0.83950615,0.14866254,710400.0,BA
32,1962-01-03,1.1014219280169133,30.375,30.125,30.125,0.5027709,4400.0,DTE
33,1962-01-03,1.1014219280169133,1.6015625,1.578125,1.6015625,0.014119983,1200000.0,XOM
